COD_CONTA,DSC_ESTADO_CIVIL,DSC_SUITABILITY
203,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
204,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
205,SOLTEIRO(A),AGRESSIVO
206,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
207,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
208,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
209,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
210,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
211,SOLTEIRO(A),AGRESSIVO
212,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
213,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
214,SOLTEIRO(A),AGRESSIVO
215,SOLTEIRO(A),AGRESSIVO
216,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
217,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
218,SOLTEIRO(A),AGRESSIVO
219,UNIÃO ESTÁVEL,AGRESSIVO
220,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
221,CASADO(A) COM BRASILEIRO(A)  NATO(A),MODERADO
222,SOLTEIRO(A),MODERADO
223,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
224,DIVORCIADO(A),AGRESSIVO
225,CASADO(A) COM BRASILEIRO(A) NATURALIZADO,AGRESSIVO
226,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
227,SOLTEIRO(A),AGRESSIVO
228,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
229,SOLTEIRO(A),AGRESSIVO
230,SOLTEIRO(A),AGRESSIVO
231,SOLTEIRO(A),AGRESSIVO
232,UNIÃO ESTÁVEL,MODERADO
233,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
234,CASADO(A) COM BRASILEIRO(A)  NATO(A),MODERADO
235,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
236,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
237,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
238,CASADO(A) COM BRASILEIRO(A)  NATO(A),MODERADO
239,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
240,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
241,SOLTEIRO(A),AGRESSIVO
242,UNIÃO ESTÁVEL,MODERADO
243,VIUVO(A),AGRESSIVO
244,SOLTEIRO(A),AGRESSIVO
245,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
246,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
247,SOLTEIRO(A),AGRESSIVO
248,SOLTEIRO(A),AGRESSIVO
249,CASADO(A) COM BRASILEIRO(A)  NATO(A),MODERADO
250,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
251,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
252,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
253,CASADO(A) COM BRASILEIRO(A)  NATO(A),MODERADO
254,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
255,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
256,SOLTEIRO(A),AGRESSIVO
257,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
258,SOLTEIRO(A),AGRESSIVO
259,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
260,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
261,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
262,SOLTEIRO(A),AGRESSIVO
263,SOLTEIRO(A),AGRESSIVO
264,CASADO(A) COM BRASILEIRO(A)  NATO(A),MODERADO
265,CASADO(A) COM BRASILEIRO(A)  NATO(A),MODERADO
266,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
267,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
268,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
269,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
270,DIVORCIADO(A),MODERADO
271,CASADO(A) COM BRASILEIRO(A)  NATO(A),MODERADO
272,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
273,SOLTEIRO(A),AGRESSIVO
274,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
275,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
276,DIVORCIADO(A),AGRESSIVO
277,SOLTEIRO(A),AGRESSIVO
278,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
279,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
280,SOLTEIRO(A),AGRESSIVO
281,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
282,CASADO(A) COM ESTRANGEIRO(A),AGRESSIVO
283,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
284,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
285,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
286,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
287,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
288,SOLTEIRO(A),MODERADO
289,SOLTEIRO(A),MODERADO
290,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
291,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
292,CASADO(A) COM BRASILEIRO(A)  NATO(A),MODERADO
293,DIVORCIADO(A),AGRESSIVO
294,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
295,SOLTEIRO(A),AGRESSIVO
296,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
297,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
298,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
299,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
300,SOLTEIRO(A),AGRESSIVO
301,SOLTEIRO(A),AGRESSIVO
302,CASADO(A) COM BRASILEIRO(A)  NATO(A),MODERADO
303,SOLTEIRO(A),AGRESSIVO
304,SOLTEIRO(A),AGRESSIVO
305,UNIÃO ESTÁVEL,AGRESSIVO
306,SOLTEIRO(A),AGRESSIVO
307,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
308,SOLTEIRO(A),AGRESSIVO
309,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
310,SOLTEIRO(A),AGRESSIVO
311,UNIÃO ESTÁVEL,MODERADO
312,SOLTEIRO(A),MODERADO
313,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
314,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
315,CASADO(A) COM BRASILEIRO(A)  NATO(A),MODERADO
316,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
317,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
318,UNIÃO ESTÁVEL,AGRESSIVO
319,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
320,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
321,UNIÃO ESTÁVEL,AGRESSIVO
322,SOLTEIRO(A),AGRESSIVO
323,DIVORCIADO(A),AGRESSIVO
324,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
325,SOLTEIRO(A),AGRESSIVO
326,CASADO(A) COM BRASILEIRO(A)  NATO(A),MODERADO
327,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
328,DESQUITADO(A),AGRESSIVO
329,CASADO(A) COM BRASILEIRO(A)  NATO(A),MODERADO
330,SOLTEIRO(A),AGRESSIVO
331,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
332,SOLTEIRO(A),AGRESSIVO
333,CASADO(A) COM BRASILEIRO(A)  NATO(A),MODERADO
334,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
335,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
336,CASADO(A) COM BRASILEIRO(A)  NATO(A),MODERADO
337,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
338,SOLTEIRO(A),AGRESSIVO
339,CASADO(A) COM BRASILEIRO(A)  NATO(A),MODERADO
340,SOLTEIRO(A),AGRESSIVO
341,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
342,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
343,CASADO(A) COM BRASILEIRO(A)  NATO(A),MODERADO
344,VIUVO(A),MODERADO
345,CASADO(A) COM ESTRANGEIRO(A),MODERADO
346,DIVORCIADO(A),MODERADO
347,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
348,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
349,SOLTEIRO(A),AGRESSIVO
350,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
351,SOLTEIRO(A),AGRESSIVO
352,SOLTEIRO(A),AGRESSIVO
353,SOLTEIRO(A),MODERADO
354,VIUVO(A),AGRESSIVO
355,SOLTEIRO(A),MODERADO
356,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
357,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
358,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
359,DIVORCIADO(A),AGRESSIVO
360,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
361,SOLTEIRO(A),AGRESSIVO
362,DIVORCIADO(A),CONSERVADOR
363,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
364,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
365,CASADO(A) COM BRASILEIRO(A)  NATO(A),AGRESSIVO
